Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
776,1.1775,1.59143E+17
777,1.17125,1.596E+17
778,1.17,1.60058E+17
779,1.16875,1.60516E+17
780,1.16125,1.60972E+17
781,1.16,1.61428E+17
782,1.16,1.61884E+17
783,1.15875,1.62341E+17
784,1.1525,1.62795E+17
785,1.15875,1.63253E+17
786,1.1575,1.63711E+17
787,1.14125,1.64163E+17
788,1.13,1.64611E+17
789,1.1175,1.65054E+17
790,1.095,1.65489E+17
791,1.0975,1.65926E+17
792,1.09,1.6636E+17
793,1.0825,1.66792E+17
794,1.08875,1.67227E+17
795,1.0875,1.67662E+17
796,1.075,1.68093E+17
797,1.09,1.6853E+17
798,1.105,1.68973E+17
799,1.09,1.69412E+17
800,1.07375,1.69844E+17
801,1.07875,1.70278E+17
802,1.0775,1.70713E+17
803,1.065,1.71143E+17
804,1.07375,1.71578E+17
805,1.05875,1.72007E+17
806,1.08375,1.72446E+17
807,1.08125,1.72885E+17
808,1.07625,1.73322E+17
809,1.05375,1.73751E+17
810,1.05,1.74179E+17
811,1.04625,1.74606E+17
812,1.0225,1.75024E+17
813,0.997625,1.75432E+17
814,0.913625,1.75806E+17
815,0.886125,1.76169E+17
816,0.84025,1.76514E+17
817,0.843,1.76861E+17
818,0.834,1.77204E+17
819,0.887125,1.7757E+17
820,0.8815,1.77933E+17
821,0.97225,1.78335E+17
822,0.92,1.78715E+17
823,0.738375,1.79021E+17
824,0.90375,1.79396E+17
825,0.958125,1.79793E+17
826,0.941875,1.80185E+17
827,0.95875,1.80584E+17
828,0.873875,1.80948E+17
829,0.91525,1.81329E+17
830,0.91575,1.81712E+17
831,0.916375,1.82095E+17
832,0.903375,1.82473E+17
833,0.943375,1.82868E+17
834,0.9425,1.83264E+17
835,0.987625,1.83679E+17
836,0.97875,1.8409E+17
837,1.00325,1.84513E+17
838,0.998,1.84934E+17
839,0.99925,1.85355E+17
840,1.0085,1.85782E+17
841,1.008,1.86208E+17
842,0.99675,1.8663E+17
843,0.997125,1.87053E+17
844,0.9885,1.87473E+17
845,1.007875,1.87901E+17
846,1.014875,1.88333E+17
847,0.992875,1.88756E+17
848,0.98825,1.89178E+17
849,0.97225,1.89593E+17
850,0.912625,1.89984E+17
851,0.96125,1.90395E+17
852,0.967,1.9081E+17
853,0.9485,1.91217E+17
854,0.87075,1.91591E+17
855,0.909875,1.91982E+17
856,0.964875,1.92398E+17
857,0.986625,1.92823E+17
858,0.989,1.9325E+17
859,0.9885,1.93677E+17
860,0.985375,1.94104E+17
861,0.985125,1.9453E+17
862,0.99175,1.9496E+17
863,0.9945,1.95392E+17
864,0.97675,1.95817E+17
865,0.947875,1.96229E+17
866,0.869375,1.96608E+17
867,0.910125,1.97005E+17
868,0.9495,1.9742E+17
